timestamp_ms,x,y,z,roll,pitch,yaw,target_x,target_y,target_z,target_yaw
1746109896067.000000,-0.482106,-0.201688,0.844481,0.292998,-0.091900,-0.304244,0.000000,0.000000,1.000000,0.000000
1746109962244.000000,-0.621751,-0.458171,0.855988,0.292938,-0.057695,-0.176116,0.000000,0.000000,1.000000,0.000000
1746110088592.000000,-0.726611,-0.500171,0.841118,0.337104,-0.026998,-0.109532,0.000000,0.000000,1.000000,0.000000
1746110088694.000000,-0.726440,-0.501332,0.843189,0.358270,-0.030411,-0.116954,0.000000,0.000000,1.000000,0.000000
1746110088794.000000,-0.725652,-0.502163,0.845511,0.357963,-0.035816,-0.125871,0.000000,0.000000,1.000000,0.000000
1746110088895.000000,-0.726411,-0.503439,0.846055,0.350009,-0.054435,-0.124493,0.000000,0.000000,1.000000,0.000000
1746110088995.000000,-0.725568,-0.504889,0.846977,0.342094,-0.045717,-0.114810,0.000000,0.000000,1.000000,0.000000
1746110089095.000000,-0.725825,-0.505577,0.848309,0.348050,-0.041358,-0.107725,0.000000,0.000000,1.000000,0.000000
1746110089196.000000,-0.724534,-0.507540,0.850105,0.342448,-0.027671,-0.100334,0.000000,0.000000,1.000000,0.000000
1746110089296.000000,-0.724231,-0.508675,0.850822,0.347324,-0.043261,-0.111550,0.000000,0.000000,1.000000,0.000000
1746110089396.000000,-0.723501,-0.510199,0.853162,0.336884,-0.039617,-0.115335,0.000000,0.000000,1.000000,0.000000
1746110089496.000000,-0.721119,-0.511791,0.855851,0.349348,-0.042575,-0.128258,0.000000,0.000000,1.000000,0.000000
1746110089597.000000,-0.719681,-0.512716,0.858097,0.333699,-0.044245,-0.119852,0.000000,0.000000,1.000000,0.000000
1746110089697.000000,-0.719228,-0.514573,0.858252,0.331708,-0.040076,-0.110195,0.000000,0.000000,1.000000,0.000000
1746110089797.000000,-0.716340,-0.515042,0.860079,0.338973,-0.028716,-0.125749,0.000000,0.000000,1.000000,0.000000
1746110089898.000000,-0.714141,-0.515296,0.860301,0.322638,-0.019833,-0.115115,0.000000,0.000000,1.000000,0.000000
1746110089998.000000,-0.711440,-0.513374,0.859288,0.315751,-0.035714,-0.113279,0.000000,0.000000,1.000000,0.000000
1746110090098.000000,-0.707087,-0.511391,0.859507,0.323512,-0.037080,-0.129288,0.000000,0.000000,1.000000,0.000000
1746110090199.000000,-0.703733,-0.506991,0.858177,0.322832,-0.032665,-0.117802,0.000000,0.000000,1.000000,0.000000
1746110090299.000000,-0.698597,-0.502279,0.857335,0.320001,-0.026593,-0.109935,0.000000,0.000000,1.000000,0.000000
1746110090399.000000,-0.692448,-0.497477,0.856339,0.316007,-0.027690,-0.106370,0.000000,0.000000,1.000000,0.000000
1746110090499.000000,-0.687530,-0.490914,0.854809,0.323631,-0.028576,-0.099852,0.000000,0.000000,1.000000,0.000000
1746110090600.000000,-0.682398,-0.483677,0.853126,0.319509,-0.031928,-0.099070,0.000000,0.000000,1.000000,0.000000
1746110090700.000000,-0.677668,-0.474446,0.851646,0.314574,-0.011600,-0.110151,0.000000,0.000000,1.000000,0.000000
1746110090800.000000,-0.675036,-0.465009,0.848880,0.325639,-0.020065,-0.093383,0.000000,0.000000,1.000000,0.000000
1746110090900.000000,-0.671166,-0.455286,0.846842,0.318969,-0.015374,-0.095823,0.000000,0.000000,1.000000,0.000000
1746110091000.000000,-0.668470,-0.443705,0.843636,0.319577,-0.014708,-0.100394,0.000000,0.000000,1.000000,0.000000
1746110091101.000000,-0.666632,-0.431891,0.840297,0.320969,-0.009954,-0.096734,0.000000,0.000000,1.000000,0.000000
1746110091201.000000,-0.663442,-0.419636,0.837369,0.332165,-0.015858,-0.100962,0.000000,0.000000,1.000000,0.000000
1746110091301.000000,-0.660333,-0.407812,0.834202,0.318223,-0.010418,-0.093082,0.000000,0.000000,1.000000,0.000000
1746110091401.000000,-0.656624,-0.396189,0.831170,0.322952,-0.010796,-0.101713,0.000000,0.000000,1.000000,0.000000
1746110091502.000000,-0.654685,-0.387384,0.828748,0.319221,-0.010701,-0.091560,0.000000,0.000000,1.000000,0.000000
1746110091602.000000,-0.649264,-0.371512,0.824352,0.328997,-0.013944,-0.101235,0.000000,0.000000,1.000000,0.000000
1746110091702.000000,-0.644631,-0.360069,0.820445,0.329070,-0.016724,-0.090308,0.000000,0.000000,1.000000,0.000000
1746110091803.000000,-0.640208,-0.348434,0.815902,0.326083,-0.033722,-0.098395,0.000000,0.000000,1.000000,0.000000
1746110091903.000000,-0.635092,-0.337632,0.810837,0.313324,-0.017054,-0.098948,0.000000,0.000000,1.000000,0.000000
1746110092003.000000,-0.629558,-0.327468,0.806803,0.317895,-0.018691,-0.095012,0.000000,0.000000,1.000000,0.000000
1746110092104.000000,-0.624690,-0.316365,0.802544,0.315721,-0.022998,-0.099728,0.000000,0.000000,1.000000,0.000000
1746110092204.000000,-0.619744,-0.305114,0.798352,0.320689,-0.019952,-0.095089,0.000000,0.000000,1.000000,0.000000
1746110092304.000000,-0.614345,-0.294228,0.794055,0.312543,-0.016330,-0.101325,0.000000,0.000000,1.000000,0.000000
1746110092404.000000,-0.609418,-0.283911,0.788943,0.315103,-0.023896,-0.095578,0.000000,0.000000,1.000000,0.000000
1746110092505.000000,-0.603949,-0.272896,0.783885,0.321551,-0.023812,-0.096267,0.000000,0.000000,1.000000,0.000000
1746110092605.000000,-0.599165,-0.261590,0.777690,0.318368,-0.023946,-0.097480,0.000000,0.000000,1.000000,0.000000
1746110092705.000000,-0.596590,-0.256358,0.774288,0.325109,-0.019398,-0.097782,0.000000,0.000000,1.000000,0.000000
1746110092806.000000,-0.588029,-0.239074,0.763405,0.320805,-0.027474,-0.096033,0.000000,0.000000,1.000000,0.000000
1746110092906.000000,-0.582411,-0.228326,0.756224,0.319958,-0.027852,-0.095302,0.000000,0.000000,1.000000,0.000000
1746110093006.000000,-0.576932,-0.216795,0.748853,0.318443,-0.024513,-0.100705,0.000000,0.000000,1.000000,0.000000
1746110093107.000000,-0.571651,-0.205838,0.741908,0.314627,-0.023180,-0.098776,0.000000,0.000000,1.000000,0.000000
1746110093207.000000,-0.566225,-0.194542,0.736198,0.307420,-0.027932,-0.094599,0.000000,0.000000,1.000000,0.000000
1746110093307.000000,-0.561851,-0.183028,0.730114,0.317697,-0.028938,-0.104201,0.000000,0.000000,1.000000,0.000000
1746110093408.000000,-0.558620,-0.175785,0.726880,0.314160,-0.025963,-0.093915,0.000000,0.000000,1.000000,0.000000
1746110093508.000000,-0.553855,-0.164002,0.720850,0.320381,-0.029839,-0.095215,0.000000,0.000000,1.000000,0.000000
1746110093608.000000,-0.549361,-0.151964,0.714918,0.329842,-0.033780,-0.109362,0.000000,0.000000,1.000000,0.000000
1746110093709.000000,-0.544589,-0.139387,0.708323,0.322648,-0.026429,-0.107201,0.000000,0.000000,1.000000,0.000000
1746110093809.000000,-0.539339,-0.126947,0.702076,0.323619,-0.035591,-0.103391,0.000000,0.000000,1.000000,0.000000
1746110093909.000000,-0.534350,-0.114866,0.695545,0.332301,-0.039051,-0.104892,0.000000,0.000000,1.000000,0.000000
1746110094010.000000,-0.528357,-0.102534,0.688607,0.329763,-0.036816,-0.103874,0.000000,0.000000,1.000000,0.000000
1746110094110.000000,-0.522963,-0.091609,0.681496,0.331355,-0.033179,-0.095829,0.000000,0.000000,1.000000,0.000000
1746110094210.000000,-0.515978,-0.078404,0.674704,0.337359,-0.036609,-0.108513,0.000000,0.000000,1.000000,0.000000
1746110094311.000000,-0.511521,-0.069278,0.664906,0.323298,-0.038958,-0.100790,0.000000,0.000000,1.000000,0.000000
1746110094411.000000,-0.505425,-0.059708,0.656734,0.326464,-0.037661,-0.099503,0.000000,0.000000,1.000000,0.000000
1746110094511.000000,-0.499502,-0.050625,0.648763,0.318356,-0.043001,-0.099522,0.000000,0.000000,1.000000,0.000000
1746110094612.000000,-0.493817,-0.042302,0.641010,0.319890,-0.039541,-0.094770,0.000000,0.000000,1.000000,0.000000
